Folder,File,Functions,Classes
superpilot/framework/tools/latex/pylatexenc/macrospec,_latexcontextdb.py,"__init__, freeze, __repr__, add_context_category, set_unknown_macro_spec, set_unknown_environment_spec, set_unknown_specials_spec, categories, get_macro_spec, get_environment_spec, get_specials_spec, test_for_specials, iter_macro_specs, iter_environment_specs, iter_specials_specs, filter_context, filtered_context, _get_new_autogen_category, extended_with, __init__, get_updated_parsing_state","LatexContextDb, ParsingStateDeltaExtendLatexContextDb"
superpilot/framework/tools/latex/pylatexenc/macrospec,_argumentsparser.py,"argspec, parse, __eq__, __init__, argspec, parse, __eq__, __init__, argspec, parse","LatexNoArgumentsParser, LatexArgumentsParser, _LegacyPyltxenc2MacroArgsParserWrapper"
superpilot/framework/tools/latex/pylatexenc/macrospec,_macrocallparser.py,"__init__, parse_call_arguments, make_body_parser_and_parsing_state, parse_call_body, parse, __init__, __init__, make_body_parser_and_parsing_state, _handle_stop_condition_token, _parse_body_token_stop_condition, __init__","_LatexCallableParserBase, LatexMacroCallParser, LatexEnvironmentCallParser, LatexSpecialsCallParser"
superpilot/framework/tools/latex/pylatexenc/macrospec/_pyltxenc2_argparsers,,,
superpilot/framework/tools/latex/pylatexenc/macrospec/_pyltxenc2_argparsers,_base.py,"__init__, parse_args, __repr__, get_inner_parsing_state",MacroStandardArgsParser
superpilot/framework/tools/latex/pylatexenc/macrospec/_pyltxenc2_argparsers,__init__.py,,
superpilot/framework/tools/latex/pylatexenc/macrospec/_pyltxenc2_argparsers,_verbatimargsparser.py,"__init__, to_json_object, __repr__, __eq__, __init__, parse_args, __repr__, __init__, to_json_object, __repr__, __eq__, __init__","ParsedVerbatimArgs, VerbatimArgsParser, ParsedLstListingArgs, LstListingArgsParser"
superpilot/framework/tools/latex/pylatexenc/latexencode,,,
superpilot/framework/tools/latex/pylatexenc/latexencode,get_builtin_rules.py,"get_builtin_uni2latex_dict, get_builtin_conversion_rules",
superpilot/framework/tools/latex/pylatexenc/latexencode,_unicode_to_latex_encoder.py,"unicode_str, _callable_accepts_u2lobj_arg, HexstrN, re_match_expand, regex_match_pos, __init__, _get_method_fn, _get_replacement_latex_fn, unicode_to_latex, _check_do_skip_ascii, _apply_rule_dict, _apply_rule_regex, _apply_rule_callable, _apply_replacement, _apply_protection_none, _apply_protection_braces, _apply_protection_braces_almost_all, _apply_protection_braces_all, _apply_protection_braces_after_macro, _do_unknown_char_keep, _do_unknown_char_replace, _do_unknown_char_ignore, _do_unknown_char_fail, _do_unknown_char_unihex, _do_warn_unknown_char_defaultimpl","UnicodeToLatexEncoder, _NS"
superpilot/framework/tools/latex/pylatexenc/latexencode,_uni2latexmap_xml.py,,
superpilot/framework/tools/latex/pylatexenc/latexencode,_partial_latex_encoder.py,"__init__, _do_partial_latex_encode_step",PartialLatexToLatexEncoder
superpilot/framework/tools/latex/pylatexenc/latexencode,__init__.py,"unicode_to_latex, _get_deprecated_utf82latex, utf8tolatex",
superpilot/framework/tools/latex/pylatexenc/latexencode,_rule.py,"__init__, __repr__",UnicodeToLatexConversionRule
superpilot/framework/tools/latex/pylatexenc/latexencode,_uni2latexmap.py,,
superpilot/framework/tools/latex/pylatexenc/latexencode,__main__.py,"main, run_main",
superpilot/framework/tools/search_engine,,,
superpilot/framework/tools/search_engine,search_engine_meilisearch.py,"__init__, __init__, set_index, add_documents, search","DataSource, MeilisearchEngine"
superpilot/framework/tools/search_engine,search_engine_serpapi.py,"__init__, get_params, _process_response, construct_url_and_params","SerpAPIWrapper, Config"
superpilot/framework/tools/search_engine,search_engine.py,"__init__, run_google, google_official_search, safe_google_results",SearchEngine
superpilot/framework/tools/search_engine,search_engine_serper.py,"get_payloads, get_headers, _process_response, construct_url_and_payload_and_headers, get_focused","SerperWrapper, Config"
superpilot/framework/tools/search_engine,search_engine_type.py,,SearchEngineType
superpilot/framework/tools/search_engine,__init__.py,,
superpilot/framework/tools/search_engine,sd_engine.py,"decode_base64_to_image, batch_decode_base64_to_image, __init__, construct_payload, _save",SDEngine
superpilot/framework/tools/search_engine,ut_writer.py,"__init__, get_swagger_json, __para_to_str, _para_to_str, para_to_str, build_object_properties, get_tags_mapping, generate_ut, build_api_doc, _store, ask_gpt_and_save, _generate_ut, gpt_msgs_to_code, get_file_path, dive_into_object",UTGenerator
superpilot/framework/tools/search_engine,translator.py,translate_prompt,Translator
superpilot/framework/tools/search_engine,web_search.py,web_search,
superpilot/framework/tools/web_browser,,,
superpilot/framework/tools/web_browser,web_browser_engine_playwright.py,__init__,PlaywrightWrapper
superpilot/framework/tools/web_browser,web_browser_engine.py,"get_page_content, __init__",WebBrowserEngine
superpilot/framework/tools/web_browser,__init__.py,,
superpilot/framework/tools/web_browser,web_browser_engine_selenium.py,"_gen_get_driver_func, __init__, _scrape_website, _get_driver",SeleniumWrapper
superpilot/framework/tools/web_browser,web_scrape.py,"browse_website, scrape_text_with_selenium, get_text, scrape_links_with_selenium, close_browser, add_header",
superpilot/framework/tools/web_browser,web_browser_engine_type.py,,WebBrowserEngineType
superpilot/framework/tools/summarizer,,,
superpilot/framework/tools/summarizer,__init__.py,,
superpilot/framework/tools/summarizer,summarizer.py,"__init__, summarize_text",Summarizer
superpilot/framework/llm,,,
superpilot/framework/llm,token_counter.py,"count_message_tokens, count_string_tokens",
superpilot/framework/llm,__init__.py,,
superpilot/framework/llm,chat.py,"create_chat_message, generate_context, chat_with_ai",
superpilot/framework/llm,llm_utils.py,"retry_openai_api, call_ai_function, create_chat_completion, batched, chunked_tokens, get_ada_embedding, create_embedding, check_model, _wrapper, _wrapped",
superpilot/framework/llm,modelsinfo.py,,
superpilot/framework/llm,api_manager.py,"__init__, reset, update_cost, set_total_budget, get_total_prompt_tokens, get_total_completion_tokens, get_total_cost, get_total_budget, get_models",ApiManager
superpilot/framework/llm,base.py,"raw, __getitem__, __getitem__, __getitem__, __iter__, __len__, add, append, extend, insert, for_model, token_length, raw, dump, separator","MessageDict, ResponseMessageDict, FunctionCallDict, Message, ModelInfo, CompletionModelInfo, ChatModelInfo, TextModelInfo, EmbeddingModelInfo, ChatSequence, LLMResponse, EmbeddingModelResponse, ChatModelResponse"
superpilot/framework/llm/providers,,,
superpilot/framework/llm/providers,__init__.py,,
superpilot/framework/llm/providers,openai.py,"meter_api, retry_api, create_chat_completion, create_text_completion, create_embedding, get_openai_command_specs, count_openai_functions_tokens, format_function_specs_as_typescript_ns, update_usage_with_response, metering_wrapper, metered_func, _wrapper, schema, prompt_format, _wrapped, param_signature","OpenAIFunctionCall, OpenAIFunctionSpec, ParameterSpec"
superpilot/framework/llm/utils,,,
superpilot/framework/llm/utils,token_counter.py,"count_message_tokens, count_message_tokens, count_message_tokens, count_string_tokens",
superpilot/framework/llm/utils,__init__.py,"call_ai_function, create_text_completion, create_chat_completion, check_model",
superpilot/framework/plugins,,,
superpilot/framework/plugins,plugins_config.py,"__repr__, get, is_enabled, load_config, deserialize_config_file, create_empty_plugins_config",PluginsConfig
superpilot/framework/plugins,__init__.py,"inspect_zip_for_modules, write_dict_to_json_file, fetch_openai_plugins_manifest_and_spec, create_directory_if_not_exists, initialize_openai_plugins, instantiate_openai_plugin_clients, scan_plugins",
superpilot/framework/plugins,plugin_config.py,,PluginConfig
superpilot/framework/abilities,,,
superpilot/framework/abilities,search_summarise.py,"__init__, description, arguments, _parse_response",SearchAndSummarizeAbility
superpilot/framework/abilities,__init__.py,,
superpilot/framework/abilities,text_summarise.py,"__init__, description, arguments, required_arguments, _parse_response",TextSummarizeAbility
superpilot/framework/helpers,,,
superpilot/framework/helpers,system.py,get_os_info,
superpilot/framework/helpers,__init__.py,,
superpilot/framework/helpers,utils.py,"batch, clean_input, validate_yaml_file, readable_file_size, get_bulletin_from_web, get_current_git_branch, get_latest_bulletin, markdown_to_ansi_style, get_legal_warning",
superpilot/framework/helpers,logs.py,"remove_color_codes, print_assistant_thoughts, __init__, typewriter_log, debug, info, warn, error, _log, set_level, double_check, log_json, get_log_directory, emit, emit, format","Logger, TypingConsoleHandler, ConsoleHandler, PilotFormatter"
superpilot/framework/helpers/json_utils,,,
superpilot/framework/helpers/json_utils,json_fix_llm.py,"auto_fix_json, fix_json_using_multiple_techniques, fix_and_parse_json, try_ai_fix, attempt_to_fix_json_by_finding_outermost_brackets",
superpilot/framework/helpers/json_utils,__init__.py,,
superpilot/framework/helpers/json_utils,json_fix_general.py,"extract_char_position, fix_invalid_escape, balance_braces, add_quotes_to_property_names, correct_json, replace_func",
superpilot/framework/helpers/json_utils,utilities.py,"extract_json_from_response, extract_function_call_json_from_response, execute_function_from_json, llm_response_schema, validate_json",
superpilot/framework/helpers/processing,,,
superpilot/framework/helpers/processing,categories.py,predict_text_category,
superpilot/framework/helpers/processing,html.py,"extract_hyperlinks, format_hyperlinks",
superpilot/framework/helpers/processing,__init__.py,,
superpilot/framework/helpers/processing,summarize.py,"summarize_text, fulltext",
superpilot/framework/helpers/processing,text.py,"_max_chunk_length, must_chunk_content, chunk_content, summarize_text, split_text, summarize_text_web_driver, scroll_to_percentage, create_message, write_to_file, read_txt_files, md_to_pdf",
superpilot/framework/helpers/processing,image.py,"remove_image, extract_text_from_image, image_to_text, image_to_base64, read_image",
superpilot/framework/helpers/js,,,
superpilot/framework/helpers/log_cycle,,,
superpilot/framework/helpers/log_cycle,__init__.py,,
superpilot/framework/helpers/log_cycle,json_handler.py,"__init__, emit, format","JsonFileHandler, JsonFormatter"
superpilot/framework/helpers/math,,,
superpilot/framework/helpers/math,math_utils.py,"solve_problem, remove_boxed, last_boxed_only_string, _fix_fracs, _fix_a_slash_b, _remove_right_units, _fix_sqrt, _strip_string, get_answer, is_equiv, is_equiv_chain_of_thought, voting_counts, eval_math_responses",
superpilot/tests,,,
superpilot/tests,test_deepinfra.py,,
superpilot/tests,test_ag_mongo.py,"run_db_agent, query_vector_db, retrieve_docs, get_embedding, connect_db, find_similar_documents",MongoRetrieveUserProxyAgent
superpilot/tests,test_model.py,,
superpilot/tests,test_ability.py,,
superpilot/tests,main_research.py,"parse_pilot_name_and_goals, parse_pilot_plan, parse_next_ability, parse_ability_result",
superpilot/tests,test_ability_sd.py,,
superpilot/tests,test_tax.py,call_open_ai,
superpilot/tests,test_autogen.py,format_messages,
superpilot/tests,test_superpilot.py,,
superpilot/tests,run_file.py,"process_single_file, run_file_with_search",
superpilot/tests,test_flow.py,"__init__, __init__, define_task, __init__","Step, TaskPlanner, Flow"
superpilot/tests,__init__.py,,
superpilot/tests,test_chegg_qc.py,,
superpilot/tests,test_flow_dynamic.py,"get_os_info, __init__, __init__, define_task, __init__, __init__, _make_template_kwargs_for_strategy","Step, TaskPlanner, Flow, Ability, Step, FlowModel, SimpleFlow"
superpilot/tests,test_env_simple.py,get_env,
superpilot/tests,test_pilot.py,,
superpilot/tests,test_college.py,,
superpilot/tests,test_solver.py,"solve_question, add_two_numbers, extract_latex_from_image, extract_text_from_image, math_pics_ocr, process_directory_images",
superpilot/tests,test_readme.py,parser,
superpilot/tests,test_executor.py,"fix_question, run_file, search_question, run_file_with_search, get_page_content, latex_txt",
superpilot/tests,main.py,"parse_pilot_name_and_goals, parse_pilot_plan, parse_next_ability, parse_ability_result",
superpilot/tests,anthropic_test.py,,
superpilot/tests,test_flow_simple.py,,
superpilot/tests,open_ai.py,encode_image,
superpilot/docs,,,
superpilot/mapping_csv,,,
superpilot/mapping_csv,extarct_info_project.py,"extract_info_from_file, extract_info_from_directory, save_to_csv",
superpilot/examples,,,
superpilot/examples,__init__.py,,
superpilot/examples/unit_tester,,,
superpilot/examples/unit_tester,gene_testcase2.py,"extract_functions_from_code, generate_test_case_file, main",
superpilot/examples/unit_tester,generated_test_case.py,test_addition,TestSample
superpilot/examples/unit_tester,test_code.py,"factorial_iterative, factorial_recursive, main",
superpilot/examples/unit_tester,unittest_addition.py,"generate_test_case, test_func, save_test_case, main",
superpilot/examples/unit_tester,ollama_test.py,,
superpilot/examples/unit_tester,test_code_test_test.py,"test_test_factorial_iterative, test_test_factorial_recursive, test_test_main",TestTest_code_test_test
superpilot/examples/solution_qc,,,
superpilot/examples/solution_qc,chegg_scrap.py,"request_chegg, process_chegg_file",
superpilot/examples/solution_qc,constants.py,,
superpilot/examples/solution_qc,__init__.py,,
superpilot/examples/solution_qc,utils.py,"convert_to_mathjax, generate_html_all, list_order_html, generate_html, list_item_html, create_mathjax_span",EmptyObject
superpilot/examples/solution_qc,prompt.py,"__init__, model_classification, parse_response_content","QuestionAnswerAnalysis, QuestionAnswerAnalysisPrompt"
superpilot/examples/solution_qc,executor.py,__init__,QuestionAnalysisExecutor
superpilot/examples/solution_qc,scrap.py,"download_file, convert_to_mathjax, generate_html_all, list_order_html, generate_html, list_item_html, extract_text_from_image, image_to_text, run_img, image_to_base64, create_mathjax_span",
superpilot/examples/ed_tech,,,
superpilot/examples/ed_tech,wolfram_ability.py,"get_from_dict_or_env, __init__, description, arguments, get_content, format_messages, execute_one_wolfram_query, _parse_response, validate_environment, run","WolframAbility, WolframAlphaAPIWrapper, Config"
superpilot/examples/ed_tech,figure_question_executor.py,"__init__, auto_solver_transformer, vision_transformer, solver_transformer, format_transformer, image_to_base64, image_to_text, extract_text_from_image, format_numbered",FigureQuestionExecutor
superpilot/examples/ed_tech,__init__.py,,
superpilot/examples/ed_tech,solution_validator.py,"__init__, model_classification, parse_response_content, get_config",SolutionValidatorPrompt
superpilot/examples/ed_tech,ag_question_solver_ability.py,"__init__, description, arguments, get_content, format_messages, _parse_response",AGQuestionSolverAbility
superpilot/examples/ed_tech,answer_categorizer.py,"__init__, model_classification, parse_response_content, get_config, build_prompt",AnswerCategorizerPrompt
superpilot/examples/ed_tech,question_solver.py,"__init__, model_classification, build_prompt, get_template_kwargs, parse_response_content, get_config, factory","QuestionStatus, QuestionSubject, QuestionType, Question, QuestionSolverPrompt"
superpilot/examples/ed_tech,question_executor.py,"__init__, auto_solver_transformer, vision_transformer, solver_transformer, format_transformer, image_to_base64, image_to_text, extract_text_from_image, format_numbered",QuestionExecutor
superpilot/examples/ed_tech,solution_validator_bkp.py,"__init__, model_classification, parse_response_content, get_config",SolutionValidatorPrompt
superpilot/examples/ed_tech,describe_image_question.py,"__init__, model_classification, parse_response_content, get_config",DescribeQFigurePrompt
superpilot/examples/thumbnail-genarator,,,
superpilot/examples/thumbnail-genarator,genarator.py,"__init__, calculate_pixels_to_add, check_host, uncrop, add_white_pixels_to_image, genarate_image, remove_background, background_fill, background_fill_photapi, text_fill, genarate",ThumbnailGenarator
superpilot/examples/tax,,,
superpilot/examples/tax,api_constant.py,,
superpilot/examples/tax,ability.py,"__init__, description, arguments, __init__, description, arguments, name, __init__, name, description, arguments","Gstr1DataTransformAbility, HeaderSchema, ImportAbilityArguments, SalesDataImportAbility, GSRT1DataUploadAbility, ResMessage, ApiResponseSchema, ApiResponseObserverAbility"
superpilot/examples/tax,gstr1_data_transformer_prompt.py,"__init__, model_classification, parse_response_content","InvoiceType, SupplyType, Item, Document, DataList, GSTR1DataTransformerPrompt"
superpilot/examples/tax,gstr1_data_transformer.py,"__init__, model_classification, parse_response_content","InvoiceType, SupplyType, Item, Document, DataList, GSTR1DataTransformerPrompt"
superpilot/examples/tax,test.py,run_executor,
superpilot/examples/tax,executor.py,"__init__, sample_chain_function, data_transformer, format_transformer",Gstr1FillingExecutor
superpilot/examples/pilots,,,
superpilot/examples/pilots,__init__.py,,
superpilot/examples/pilots/tasks,,,
superpilot/examples/pilots/tasks,__init__.py,,
superpilot/examples/pilots/tasks,super.py,__init__,SuperTaskPilot
superpilot/examples/pilots/tasks,overview.py,__init__,CollegeOverViewTaskPilot
superpilot/examples/pilots/tasks,base.py,"__init__, _make_template_kwargs_for_strategy, __repr__",BaseTaskPilot
superpilot/examples/abilities,,,
superpilot/examples/abilities,search_college_overview.py,"__init__, description, arguments, _parse_response",SearchCollegeOverview
superpilot/examples/abilities,question_extractor.py,"__init__, description, arguments, get_page_content, _parse_response",QuestionExtractor
superpilot/examples/abilities,__init__.py,,
superpilot/examples/abilities,clipdrop.py,"__init__, description, arguments, _parse_response",ClipDropGenerator
superpilot/examples/abilities,stable_diffusion.py,"__init__, description, arguments, generate_body, _parse_response",StableDiffusionGenerator
superpilot/examples/abilities,generate_md.py,"__init__, description, arguments, _parse_response",GenerateMarkdownContent
superpilot/examples/abilities/utlis,,,
superpilot/examples/abilities/utlis,__init__.py,,
superpilot/examples/abilities/utlis,clipdrop.py,generate_image_with_clip_drop,
superpilot/examples/abilities/utlis,stable_diffusion.py,generate_image_with_sd,
superpilot/examples/abilities/utlis,scraperapi.py,scrape_page,
superpilot/examples/abilities/schema,,,
superpilot/examples/abilities/schema,__init__.py,,
superpilot/examples/abilities/schema,stable_diffusion.py,,"ArtStylePreset, TextPrompts"
superpilot/examples/executor,,,
superpilot/examples/executor,chegg_qc.py,__init__,CheggQCExecutor
superpilot/examples/executor,question_extractor.py,__init__,QuestionExtractorExecutor
superpilot/examples/executor,latex_code_generator.py,"__init__, format_numbered",LatexCodeGenExecutor
superpilot/examples/executor,__init__.py,,
superpilot/examples/executor,stabledifusion_prompt.py,__init__,StableDiffusionPromptExecutor
superpilot/examples/executor,model.py,"__init__, prepare_model_provider",ModelPilotExecutor
superpilot/examples/executor,stable_diffusion.py,__init__,StableDiffusionImageExecutor
superpilot/examples/executor,question_identifier.py,"__init__, format_numbered",QuestionIdentifierPromptExecutor
superpilot/examples/executor,midjourney_prompt.py,__init__,MidjourneyPromptPromptExecutor
superpilot/examples/executor,clip_drop.py,__init__,ClipDropImageExecutor
superpilot/examples/executor,base.py,"__init__, name",BaseExecutor
superpilot/examples/prompt_generator,,,
superpilot/examples/prompt_generator,__init__.py,,
superpilot/examples/prompt_generator,stabledifusion_prompt.py,"__init__, text_generate","TextPrompt, ClipGuidancePreset, Sampler, StylePreset, StableDiffusionPromptModel, StableDiffusionPrompt, Config"
superpilot/examples/prompt_generator,question_correct.py,"__init__, model_classification, build_prompt, get_template_kwargs, parse_response_content, get_config, factory","QuestionStatus, QuestionSubject, QuestionType, Question, QuestionIdentifierPrompt"
superpilot/examples/prompt_generator,test_pilot.py,,
superpilot/examples/prompt_generator,example_prompts.py,,
superpilot/examples/prompt_generator,midjourney_prompt.py,"__init__, model_classification, build_prompt, get_template_kwargs, parse_response_content, get_config, factory","BasePromptModel, MidjourneyPrompt"
superpilot/examples/prompt_generator,latex_code_gen.py,"__init__, model_classification, build_prompt, get_template_kwargs, parse_response_content, get_config, factory","QuestionStatus, QuestionSubject, QuestionType, Question, LatexCodeGenPrompt"
superpilot/examples/voiceover,,,
superpilot/examples/voiceover,dub.py,"__init__, initialize_speech_to_text, speech_to_text, translate_text, save_audio_bytes, text_to_audio, text_to_audio_clone, dub",VoiceDub
